Training 0.00 %,Trainning accuracy = 18.000001%, loss = 2.2903 
Training 19.95 %,Trainning accuracy = 80.000001%, loss = 0.5844 
Training 20.00 %,Trainning accuracy = 75.999999%, loss = 0.5642 
Training 20.05 %,Trainning accuracy = 73.999995%, loss = 0.7826 
Training 20.10 %,Trainning accuracy = 81.999999%, loss = 0.5859 
Training 20.15 %,Trainning accuracy = 72.000003%, loss = 0.6866 
Training 20.20 %,Trainning accuracy = 79.999995%, loss = 0.5225 
Training 20.25 %,Trainning accuracy = 84.000003%, loss = 0.4055 
Training 20.30 %,Trainning accuracy = 75.999999%, loss = 0.7934 
Training 20.35 %,Trainning accuracy = 74.000001%, loss = 0.9223 
Training 20.40 %,Trainning accuracy = 85.999995%, loss = 0.4982 
Training 20.45 %,Trainning accuracy = 75.999999%, loss = 0.5679 
Training 20.50 %,Trainning accuracy = 81.999999%, loss = 0.5178 
Training 20.55 %,Trainning accuracy = 83.999997%, loss = 0.5672 
Training 20.60 %,Trainning accuracy = 81.999999%, loss = 0.5641 
Training 20.65 %,Trainning accuracy = 75.999999%, loss = 0.5282 
Training 20.70 %,Trainning accuracy = 81.999999%, loss = 0.5400 
Training 20.75 %,Trainning accuracy = 74.000001%, loss = 0.7465 
Training 20.80 %,Trainning accuracy = 77.999997%, loss = 0.7239 
Training 20.85 %,Trainning accuracy = 81.999999%, loss = 0.4767 
Training 20.90 %,Trainning accuracy = 86.000001%, loss = 0.4951 
Training 20.95 %,Trainning accuracy = 87.999994%, loss = 0.5051 
Training 21.00 %,Trainning accuracy = 81.999993%, loss = 0.5639 
Training 21.05 %,Trainning accuracy = 79.999995%, loss = 0.5889 
Training 21.10 %,Trainning accuracy = 79.999995%, loss = 0.5169 
Training 21.15 %,Trainning accuracy = 63.999999%, loss = 0.7204 
Training 21.20 %,Trainning accuracy = 74.000001%, loss = 0.5496 
Training 21.25 %,Trainning accuracy = 83.999997%, loss = 0.4758 
Training 21.30 %,Trainning accuracy = 71.999997%, loss = 0.6948 
Training 21.35 %,Trainning accuracy = 80.000001%, loss = 0.5771 
Training 21.40 %,Trainning accuracy = 80.000001%, loss = 0.7097 
Training 21.45 %,Trainning accuracy = 79.999995%, loss = 0.5501 
Training 21.50 %,Trainning accuracy = 80.000001%, loss = 0.4817 
Training 21.55 %,Trainning accuracy = 81.999999%, loss = 0.6065 
Training 21.60 %,Trainning accuracy = 68.000001%, loss = 0.9309 
Training 21.65 %,Trainning accuracy = 74.000001%, loss = 0.6974 
Training 21.70 %,Trainning accuracy = 84.000003%, loss = 0.4471 
Training 21.75 %,Trainning accuracy = 94.000000%, loss = 0.3968 
Training 21.80 %,Trainning accuracy = 79.999995%, loss = 0.5046 
Training 21.85 %,Trainning accuracy = 90.000004%, loss = 0.3676 
Training 21.90 %,Trainning accuracy = 79.999995%, loss = 0.5953 
Training 21.95 %,Trainning accuracy = 79.999995%, loss = 0.5317 
Training 22.00 %,Trainning accuracy = 74.000001%, loss = 0.7799 
Training 22.05 %,Trainning accuracy = 79.999995%, loss = 0.5275 
Training 22.10 %,Trainning accuracy = 86.000001%, loss = 0.3907 
Training 22.15 %,Trainning accuracy = 71.999997%, loss = 0.7904 
Training 22.20 %,Trainning accuracy = 75.999993%, loss = 0.8838 
Training 22.25 %,Trainning accuracy = 75.999999%, loss = 0.6565 
Training 22.30 %,Trainning accuracy = 81.999999%, loss = 0.5719 
Training 22.35 %,Trainning accuracy = 71.999997%, loss = 0.7844 
Training 22.40 %,Trainning accuracy = 75.999999%, loss = 0.6448 
Training 22.45 %,Trainning accuracy = 80.000001%, loss = 0.5392 
Training 22.50 %,Trainning accuracy = 88.000000%, loss = 0.5394 
Training 22.55 %,Trainning accuracy = 69.999999%, loss = 0.6370 
Training 22.60 %,Trainning accuracy = 79.999995%, loss = 0.7588 
Training 22.65 %,Trainning accuracy = 88.000000%, loss = 0.3708 
Training 22.70 %,Trainning accuracy = 74.000001%, loss = 0.7213 
Training 22.75 %,Trainning accuracy = 74.000001%, loss = 0.7193 
Training 22.80 %,Trainning accuracy = 88.000000%, loss = 0.4583 
Training 22.85 %,Trainning accuracy = 80.000001%, loss = 0.5256 
Training 22.90 %,Trainning accuracy = 80.000001%, loss = 0.5595 
Training 22.95 %,Trainning accuracy = 84.000003%, loss = 0.6113 
Training 23.00 %,Trainning accuracy = 83.999997%, loss = 0.4825 
Training 23.05 %,Trainning accuracy = 77.999997%, loss = 0.6980 
Training 23.10 %,Trainning accuracy = 71.999997%, loss = 0.7421 
Training 23.15 %,Trainning accuracy = 88.000000%, loss = 0.3060 
Training 23.20 %,Trainning accuracy = 80.000001%, loss = 0.5961 
Training 23.25 %,Trainning accuracy = 83.999997%, loss = 0.5780 
Training 23.30 %,Trainning accuracy = 90.000004%, loss = 0.3819 
Training 23.35 %,Trainning accuracy = 98.000002%, loss = 0.3152 
Training 23.40 %,Trainning accuracy = 79.999995%, loss = 0.4927 
Training 23.45 %,Trainning accuracy = 65.999997%, loss = 0.7422 
Training 23.50 %,Trainning accuracy = 71.999997%, loss = 0.7156 
Training 23.55 %,Trainning accuracy = 75.999999%, loss = 0.6632 
Training 23.60 %,Trainning accuracy = 77.999997%, loss = 0.7142 
Training 23.65 %,Trainning accuracy = 89.999998%, loss = 0.3907 
Training 23.70 %,Trainning accuracy = 75.999999%, loss = 0.6779 
Training 23.75 %,Trainning accuracy = 69.999999%, loss = 0.7932 
Training 23.80 %,Trainning accuracy = 80.000001%, loss = 0.5782 
Training 23.85 %,Trainning accuracy = 80.000001%, loss = 0.4505 
Training 23.90 %,Trainning accuracy = 69.999999%, loss = 0.6022 
Training 23.95 %,Trainning accuracy = 79.999995%, loss = 0.5602 
Training 24.00 %,Trainning accuracy = 77.999997%, loss = 0.6466 
Training 24.05 %,Trainning accuracy = 74.000001%, loss = 0.6151 
Training 24.10 %,Trainning accuracy = 88.000000%, loss = 0.3915 
Training 24.15 %,Trainning accuracy = 79.999995%, loss = 0.4742 
Training 24.20 %,Trainning accuracy = 82.000005%, loss = 0.5672 
Training 24.25 %,Trainning accuracy = 90.000004%, loss = 0.4294 
Training 24.30 %,Trainning accuracy = 81.999993%, loss = 0.4450 
Training 24.35 %,Trainning accuracy = 88.000000%, loss = 0.4213 
Training 24.40 %,Trainning accuracy = 83.999997%, loss = 0.5173 
Training 24.45 %,Trainning accuracy = 74.000001%, loss = 0.6293 
Training 24.50 %,Trainning accuracy = 77.999997%, loss = 0.5373 
Training 24.55 %,Trainning accuracy = 85.999995%, loss = 0.4654 
Training 24.60 %,Trainning accuracy = 88.000000%, loss = 0.4165 
Training 24.65 %,Trainning accuracy = 77.999997%, loss = 0.4408 
Training 24.70 %,Trainning accuracy = 83.999997%, loss = 0.5294 
Training 24.75 %,Trainning accuracy = 72.000003%, loss = 0.7692 
Training 24.80 %,Trainning accuracy = 90.000004%, loss = 0.2907 
Training 24.85 %,Trainning accuracy = 79.999995%, loss = 0.4454 
Training 24.90 %,Trainning accuracy = 83.999997%, loss = 0.4309 
Training 24.95 %,Trainning accuracy = 77.999997%, loss = 0.5872 
Training 25.00 %,Trainning accuracy = 89.999998%, loss = 0.3643 
Training 25.05 %,Trainning accuracy = 86.000001%, loss = 0.4217 
Training 25.10 %,Trainning accuracy = 88.000000%, loss = 0.5344 
Training 25.15 %,Trainning accuracy = 83.999997%, loss = 0.4333 
Training 25.20 %,Trainning accuracy = 88.000005%, loss = 0.4475 
Training 25.25 %,Trainning accuracy = 86.000001%, loss = 0.6216 
Training 25.30 %,Trainning accuracy = 92.000002%, loss = 0.3673 
Training 25.35 %,Trainning accuracy = 83.999997%, loss = 0.3790 
Training 25.40 %,Trainning accuracy = 83.999997%, loss = 0.4904 
Training 25.45 %,Trainning accuracy = 87.999994%, loss = 0.4102 
Training 25.50 %,Trainning accuracy = 83.999997%, loss = 0.5068 
Training 25.55 %,Trainning accuracy = 92.000002%, loss = 0.2830 
Training 25.60 %,Trainning accuracy = 81.999993%, loss = 0.5475 
Training 25.65 %,Trainning accuracy = 77.999997%, loss = 0.5783 
Training 25.70 %,Trainning accuracy = 79.999995%, loss = 0.5334 
Training 25.75 %,Trainning accuracy = 79.999995%, loss = 0.6695 
Training 25.80 %,Trainning accuracy = 79.999995%, loss = 0.4994 
Training 25.85 %,Trainning accuracy = 80.000001%, loss = 0.5303 
Training 25.90 %,Trainning accuracy = 82.000005%, loss = 0.4948 
Training 25.95 %,Trainning accuracy = 83.999997%, loss = 0.4993 
Training 26.00 %,Trainning accuracy = 84.000003%, loss = 0.5097 
Training 26.05 %,Trainning accuracy = 81.999999%, loss = 0.5657 
Training 26.10 %,Trainning accuracy = 77.999997%, loss = 0.6281 
Training 26.15 %,Trainning accuracy = 81.999999%, loss = 0.4603 
Training 26.20 %,Trainning accuracy = 83.999991%, loss = 0.5302 
Training 26.25 %,Trainning accuracy = 79.999995%, loss = 0.5234 
Training 26.30 %,Trainning accuracy = 77.999997%, loss = 0.6165 
Training 26.35 %,Trainning accuracy = 84.000003%, loss = 0.3270 
Training 26.40 %,Trainning accuracy = 85.999995%, loss = 0.4742 
Training 26.45 %,Trainning accuracy = 92.000002%, loss = 0.3379 
Training 26.50 %,Trainning accuracy = 77.999997%, loss = 0.6266 
Training 26.55 %,Trainning accuracy = 79.999995%, loss = 0.4520 
Training 26.60 %,Trainning accuracy = 77.999997%, loss = 0.6640 
Training 26.65 %,Trainning accuracy = 75.999999%, loss = 0.8517 
Training 26.70 %,Trainning accuracy = 81.999999%, loss = 0.4982 
Training 26.75 %,Trainning accuracy = 85.999995%, loss = 0.3642 
Training 26.80 %,Trainning accuracy = 77.999997%, loss = 0.5795 
Training 26.85 %,Trainning accuracy = 81.999999%, loss = 0.4888 
Training 26.90 %,Trainning accuracy = 86.000001%, loss = 0.4483 
Training 26.95 %,Trainning accuracy = 88.000000%, loss = 0.2969 
Training 27.00 %,Trainning accuracy = 86.000001%, loss = 0.4349 
Training 27.05 %,Trainning accuracy = 83.999997%, loss = 0.4787 
Training 27.10 %,Trainning accuracy = 79.999995%, loss = 0.5722 
Training 27.15 %,Trainning accuracy = 74.000001%, loss = 0.6443 
Training 27.20 %,Trainning accuracy = 71.999997%, loss = 0.6384 
Training 27.25 %,Trainning accuracy = 88.000000%, loss = 0.4082 
Training 27.30 %,Trainning accuracy = 77.999997%, loss = 0.5900 
Training 27.35 %,Trainning accuracy = 74.000001%, loss = 0.6482 
Training 27.40 %,Trainning accuracy = 85.999995%, loss = 0.3295 
Training 27.45 %,Trainning accuracy = 86.000001%, loss = 0.4948 
Training 27.50 %,Trainning accuracy = 75.999999%, loss = 0.6643 
Training 27.55 %,Trainning accuracy = 89.999998%, loss = 0.3803 
Training 27.60 %,Trainning accuracy = 90.000004%, loss = 0.3637 
Training 27.65 %,Trainning accuracy = 84.000003%, loss = 0.4434 
Training 27.70 %,Trainning accuracy = 79.999995%, loss = 0.5860 
Training 27.75 %,Trainning accuracy = 86.000001%, loss = 0.4720 
Training 27.80 %,Trainning accuracy = 86.000001%, loss = 0.4308 
Training 27.85 %,Trainning accuracy = 90.000004%, loss = 0.3000 
Training 27.90 %,Trainning accuracy = 77.999997%, loss = 0.5810 
Training 27.95 %,Trainning accuracy = 79.999995%, loss = 0.6138 
Training 28.00 %,Trainning accuracy = 81.999993%, loss = 0.5351 
Training 28.05 %,Trainning accuracy = 81.999999%, loss = 0.5428 
Training 28.10 %,Trainning accuracy = 81.999993%, loss = 0.4758 
Training 28.15 %,Trainning accuracy = 83.999997%, loss = 0.4996 
Training 28.20 %,Trainning accuracy = 79.999995%, loss = 0.6101 
Training 28.25 %,Trainning accuracy = 75.999999%, loss = 0.6205 
Training 28.30 %,Trainning accuracy = 75.999999%, loss = 0.6737 
Training 28.35 %,Trainning accuracy = 84.000003%, loss = 0.3950 
Training 28.40 %,Trainning accuracy = 81.999999%, loss = 0.4195 
Training 28.45 %,Trainning accuracy = 86.000001%, loss = 0.4630 
Training 28.50 %,Trainning accuracy = 84.000003%, loss = 0.4279 
Training 28.55 %,Trainning accuracy = 86.000001%, loss = 0.4689 
Training 28.60 %,Trainning accuracy = 79.999995%, loss = 0.5488 
Training 28.65 %,Trainning accuracy = 77.999997%, loss = 0.6337 
Training 28.70 %,Trainning accuracy = 90.000004%, loss = 0.3222 
Training 28.75 %,Trainning accuracy = 74.000001%, loss = 0.7886 
Training 28.80 %,Trainning accuracy = 81.999993%, loss = 0.5042 
Training 28.85 %,Trainning accuracy = 81.999999%, loss = 0.5752 
Training 28.90 %,Trainning accuracy = 88.000000%, loss = 0.4212 
Training 28.95 %,Trainning accuracy = 83.999997%, loss = 0.4577 
Training 29.00 %,Trainning accuracy = 88.000000%, loss = 0.4827 
Training 29.05 %,Trainning accuracy = 77.999997%, loss = 0.5382 
Training 29.10 %,Trainning accuracy = 69.999999%, loss = 0.9825 
Training 29.15 %,Trainning accuracy = 77.999997%, loss = 0.5620 
Training 29.20 %,Trainning accuracy = 77.999997%, loss = 0.7613 
Training 29.25 %,Trainning accuracy = 71.999997%, loss = 0.6308 
Training 29.30 %,Trainning accuracy = 81.999993%, loss = 0.6259 
Training 29.35 %,Trainning accuracy = 77.999997%, loss = 0.6301 
Training 29.40 %,Trainning accuracy = 90.000004%, loss = 0.5936 
Training 29.45 %,Trainning accuracy = 86.000001%, loss = 0.4032 
Training 29.50 %,Trainning accuracy = 72.000003%, loss = 0.6465 
Training 29.55 %,Trainning accuracy = 85.999995%, loss = 0.3973 
Training 29.60 %,Trainning accuracy = 72.000003%, loss = 0.6835 
Training 29.65 %,Trainning accuracy = 77.999997%, loss = 0.5120 
Training 29.70 %,Trainning accuracy = 83.999997%, loss = 0.5338 
Training 29.75 %,Trainning accuracy = 77.999997%, loss = 0.4780 
Training 29.80 %,Trainning accuracy = 86.000001%, loss = 0.4490 
Training 29.85 %,Trainning accuracy = 87.999994%, loss = 0.3138 
Training 29.90 %,Trainning accuracy = 69.999999%, loss = 0.6643 
Training 29.95 %,Trainning accuracy = 88.000000%, loss = 0.5695 
Training 30.00 %,Trainning accuracy = 83.999997%, loss = 0.5244 
Training 30.05 %,Trainning accuracy = 81.999999%, loss = 0.5273 
Training 30.10 %,Trainning accuracy = 81.999999%, loss = 0.3781 
Training 30.15 %,Trainning accuracy = 88.000000%, loss = 0.4357 
Training 30.20 %,Trainning accuracy = 83.999997%, loss = 0.4539 
Training 30.25 %,Trainning accuracy = 94.000000%, loss = 0.2404 
Training 30.30 %,Trainning accuracy = 86.000001%, loss = 0.3825 
Training 30.35 %,Trainning accuracy = 83.999997%, loss = 0.4580 
Training 30.40 %,Trainning accuracy = 84.000003%, loss = 0.5296 
Training 30.45 %,Trainning accuracy = 89.999998%, loss = 0.3121 
Training 30.50 %,Trainning accuracy = 80.000001%, loss = 0.5301 
Training 30.55 %,Trainning accuracy = 85.999995%, loss = 0.4187 
Training 30.60 %,Trainning accuracy = 79.999995%, loss = 0.6091 
Training 30.65 %,Trainning accuracy = 81.999999%, loss = 0.4330 
Training 30.70 %,Trainning accuracy = 81.999999%, loss = 0.4532 
Training 30.75 %,Trainning accuracy = 84.000003%, loss = 0.5988 
Training 30.80 %,Trainning accuracy = 81.999993%, loss = 0.4205 
Training 30.85 %,Trainning accuracy = 80.000001%, loss = 0.5168 
Training 30.90 %,Trainning accuracy = 75.999999%, loss = 0.4877 
Training 30.95 %,Trainning accuracy = 81.999999%, loss = 0.4775 
Training 31.00 %,Trainning accuracy = 77.999997%, loss = 0.5143 
Training 31.05 %,Trainning accuracy = 86.000001%, loss = 0.3032 
Training 31.10 %,Trainning accuracy = 81.999993%, loss = 0.5439 
Training 31.15 %,Trainning accuracy = 88.000000%, loss = 0.3185 
Training 31.20 %,Trainning accuracy = 95.999998%, loss = 0.1661 
Training 31.25 %,Trainning accuracy = 74.000001%, loss = 0.7442 
Training 31.30 %,Trainning accuracy = 84.000003%, loss = 0.4791 
Training 31.35 %,Trainning accuracy = 75.999999%, loss = 0.5301 
Training 31.40 %,Trainning accuracy = 75.999999%, loss = 0.7234 
Training 31.45 %,Trainning accuracy = 89.999998%, loss = 0.3584 
Training 31.50 %,Trainning accuracy = 74.000001%, loss = 0.5124 
Training 31.55 %,Trainning accuracy = 75.999999%, loss = 0.6103 
Training 31.60 %,Trainning accuracy = 92.000002%, loss = 0.3204 
Training 31.65 %,Trainning accuracy = 79.999995%, loss = 0.5524 
Training 31.70 %,Trainning accuracy = 77.999997%, loss = 0.4277 
Training 31.75 %,Trainning accuracy = 85.999995%, loss = 0.3241 
Training 31.80 %,Trainning accuracy = 79.999995%, loss = 0.6421 
Training 31.85 %,Trainning accuracy = 87.999994%, loss = 0.4315 
Training 31.90 %,Trainning accuracy = 79.999995%, loss = 0.6486 
Training 31.95 %,Trainning accuracy = 79.999995%, loss = 0.5602 
Training 32.00 %,Trainning accuracy = 83.999997%, loss = 0.4244 
Training 32.05 %,Trainning accuracy = 91.999996%, loss = 0.3539 
Training 32.10 %,Trainning accuracy = 79.999995%, loss = 0.4090 
Training 32.15 %,Trainning accuracy = 81.999999%, loss = 0.5093 
Training 32.20 %,Trainning accuracy = 81.999999%, loss = 0.5814 
Training 32.25 %,Trainning accuracy = 84.000003%, loss = 0.4602 
Training 32.30 %,Trainning accuracy = 88.000000%, loss = 0.4122 
Training 32.35 %,Trainning accuracy = 69.999999%, loss = 0.8453 
Training 32.40 %,Trainning accuracy = 75.999999%, loss = 0.5661 
Training 32.45 %,Trainning accuracy = 86.000001%, loss = 0.4147 
Training 32.50 %,Trainning accuracy = 81.999999%, loss = 0.5650 
Training 32.55 %,Trainning accuracy = 83.999997%, loss = 0.3904 
Training 32.60 %,Trainning accuracy = 88.000000%, loss = 0.4547 
Training 32.65 %,Trainning accuracy = 89.999998%, loss = 0.2960 
Training 32.70 %,Trainning accuracy = 88.000000%, loss = 0.5317 
Training 32.75 %,Trainning accuracy = 94.000000%, loss = 0.2160 
Training 32.80 %,Trainning accuracy = 81.999999%, loss = 0.4238 
Training 32.85 %,Trainning accuracy = 90.000004%, loss = 0.4327 
Training 32.90 %,Trainning accuracy = 80.000001%, loss = 0.5610 
Training 32.95 %,Trainning accuracy = 86.000001%, loss = 0.4639 
Training 33.00 %,Trainning accuracy = 84.000003%, loss = 0.4567 
Training 33.05 %,Trainning accuracy = 83.999997%, loss = 0.4272 
Training 33.10 %,Trainning accuracy = 77.999997%, loss = 0.4694 
Training 33.15 %,Trainning accuracy = 75.999999%, loss = 0.7991 
Training 33.20 %,Trainning accuracy = 75.999999%, loss = 0.6606 
Training 33.25 %,Trainning accuracy = 88.000000%, loss = 0.4329 
Training 33.30 %,Trainning accuracy = 83.999997%, loss = 0.4151 
Training 33.35 %,Trainning accuracy = 86.000001%, loss = 0.4195 
Training 33.40 %,Trainning accuracy = 86.000001%, loss = 0.4534 
Training 33.45 %,Trainning accuracy = 84.000003%, loss = 0.4545 
Training 33.50 %,Trainning accuracy = 75.999999%, loss = 0.5524 
Training 33.55 %,Trainning accuracy = 89.999998%, loss = 0.3647 
Training 33.60 %,Trainning accuracy = 85.999995%, loss = 0.5861 
Training 33.65 %,Trainning accuracy = 84.000003%, loss = 0.3904 
Training 33.70 %,Trainning accuracy = 83.999997%, loss = 0.5292 
Training 33.75 %,Trainning accuracy = 85.999995%, loss = 0.4207 
Training 33.80 %,Trainning accuracy = 84.000003%, loss = 0.5754 
Training 33.85 %,Trainning accuracy = 84.000003%, loss = 0.3972 
Training 33.90 %,Trainning accuracy = 86.000001%, loss = 0.3713 
Training 33.95 %,Trainning accuracy = 77.999997%, loss = 0.5270 
Training 34.00 %,Trainning accuracy = 88.000000%, loss = 0.3806 
Training 34.05 %,Trainning accuracy = 83.999991%, loss = 0.3906 
Training 34.10 %,Trainning accuracy = 79.999995%, loss = 0.5194 
Training 34.15 %,Trainning accuracy = 81.999999%, loss = 0.5489 
Training 34.20 %,Trainning accuracy = 75.999999%, loss = 0.7189 
Training 34.25 %,Trainning accuracy = 83.999997%, loss = 0.3634 
Training 34.30 %,Trainning accuracy = 90.000004%, loss = 0.3292 
Training 34.35 %,Trainning accuracy = 81.999999%, loss = 0.3966 
Training 34.40 %,Trainning accuracy = 89.999998%, loss = 0.3426 
Training 34.45 %,Trainning accuracy = 81.999999%, loss = 0.4875 
Training 34.50 %,Trainning accuracy = 77.999997%, loss = 0.7120 
Training 34.55 %,Trainning accuracy = 85.999995%, loss = 0.4057 
Training 34.60 %,Trainning accuracy = 83.999997%, loss = 0.3889 
Training 34.65 %,Trainning accuracy = 81.999993%, loss = 0.5127 
Training 34.70 %,Trainning accuracy = 87.999994%, loss = 0.3862 
Training 34.75 %,Trainning accuracy = 83.999997%, loss = 0.4633 
Training 34.80 %,Trainning accuracy = 90.000004%, loss = 0.3546 
Training 34.85 %,Trainning accuracy = 94.000000%, loss = 0.2600 
Training 34.90 %,Trainning accuracy = 77.999997%, loss = 0.6189 
Training 34.95 %,Trainning accuracy = 81.999993%, loss = 0.5873 
Training 35.00 %,Trainning accuracy = 85.999995%, loss = 0.5782 
Training 35.05 %,Trainning accuracy = 85.999995%, loss = 0.4901 
Training 35.10 %,Trainning accuracy = 90.000004%, loss = 0.4077 
Training 35.15 %,Trainning accuracy = 79.999995%, loss = 0.5354 
Training 35.20 %,Trainning accuracy = 84.000003%, loss = 0.3383 
Training 35.25 %,Trainning accuracy = 85.999995%, loss = 0.3651 
Training 35.30 %,Trainning accuracy = 92.000002%, loss = 0.3143 
Training 35.35 %,Trainning accuracy = 92.000002%, loss = 0.2437 
Training 35.40 %,Trainning accuracy = 85.999995%, loss = 0.3003 
Training 35.45 %,Trainning accuracy = 67.999995%, loss = 0.8450 
Training 35.50 %,Trainning accuracy = 79.999995%, loss = 0.4171 
Training 35.55 %,Trainning accuracy = 86.000001%, loss = 0.5265 
Training 35.60 %,Trainning accuracy = 87.999994%, loss = 0.3689 
Training 35.65 %,Trainning accuracy = 88.000000%, loss = 0.3713 
Training 35.70 %,Trainning accuracy = 90.000004%, loss = 0.2546 
Training 35.75 %,Trainning accuracy = 86.000001%, loss = 0.4396 
Training 35.80 %,Trainning accuracy = 83.999997%, loss = 0.4519 
Training 35.85 %,Trainning accuracy = 77.999997%, loss = 0.6180 
Training 35.90 %,Trainning accuracy = 81.999999%, loss = 0.3286 
Training 35.95 %,Trainning accuracy = 89.999998%, loss = 0.2941 
Training 36.00 %,Trainning accuracy = 83.999997%, loss = 0.6111 
Training 36.05 %,Trainning accuracy = 86.000001%, loss = 0.4175 
Training 36.10 %,Trainning accuracy = 80.000001%, loss = 0.5075 
Training 36.15 %,Trainning accuracy = 77.999997%, loss = 0.4983 
Training 36.20 %,Trainning accuracy = 88.000000%, loss = 0.3901 
Training 36.25 %,Trainning accuracy = 81.999993%, loss = 0.5091 
Training 36.30 %,Trainning accuracy = 80.000001%, loss = 0.6651 
Training 36.35 %,Trainning accuracy = 84.000003%, loss = 0.3468 
Training 36.40 %,Trainning accuracy = 96.000004%, loss = 0.1628 
Training 36.45 %,Trainning accuracy = 88.000000%, loss = 0.3787 
Training 36.50 %,Trainning accuracy = 83.999997%, loss = 0.3771 
Training 36.55 %,Trainning accuracy = 79.999995%, loss = 0.4266 
Training 36.60 %,Trainning accuracy = 88.000000%, loss = 0.3312 
Training 36.65 %,Trainning accuracy = 81.999993%, loss = 0.6430 
Training 36.70 %,Trainning accuracy = 74.000001%, loss = 0.7315 
Training 36.75 %,Trainning accuracy = 81.999999%, loss = 0.4197 
Training 36.80 %,Trainning accuracy = 87.999994%, loss = 0.3262 
Training 36.85 %,Trainning accuracy = 77.999997%, loss = 0.5618 
Training 36.90 %,Trainning accuracy = 89.999998%, loss = 0.3243 
Training 36.95 %,Trainning accuracy = 73.999995%, loss = 0.7171 
Training 37.00 %,Trainning accuracy = 89.999998%, loss = 0.2569 
Training 37.05 %,Trainning accuracy = 83.999997%, loss = 0.4694 
Training 37.10 %,Trainning accuracy = 92.000002%, loss = 0.3493 
Training 37.15 %,Trainning accuracy = 75.999999%, loss = 0.5605 
Training 37.20 %,Trainning accuracy = 87.999994%, loss = 0.3930 
Training 37.25 %,Trainning accuracy = 88.000000%, loss = 0.3100 
Training 37.30 %,Trainning accuracy = 79.999995%, loss = 0.4802 
Training 37.35 %,Trainning accuracy = 83.999997%, loss = 0.3383 
Training 37.40 %,Trainning accuracy = 87.999994%, loss = 0.3288 
Training 37.45 %,Trainning accuracy = 86.000001%, loss = 0.4068 
Training 37.50 %,Trainning accuracy = 81.999999%, loss = 0.4106 
Training 37.55 %,Trainning accuracy = 83.999997%, loss = 0.3952 
Training 37.60 %,Trainning accuracy = 79.999995%, loss = 0.6916 
Training 37.65 %,Trainning accuracy = 86.000001%, loss = 0.3571 
Training 37.70 %,Trainning accuracy = 91.999996%, loss = 0.2495 
Training 37.75 %,Trainning accuracy = 89.999998%, loss = 0.2631 
Training 37.80 %,Trainning accuracy = 84.000003%, loss = 0.3141 
Training 37.85 %,Trainning accuracy = 77.999997%, loss = 0.5719 
Training 37.90 %,Trainning accuracy = 90.000004%, loss = 0.4570 
Training 37.95 %,Trainning accuracy = 85.999995%, loss = 0.4014 
Training 38.00 %,Trainning accuracy = 88.000000%, loss = 0.3496 
Training 38.05 %,Trainning accuracy = 86.000001%, loss = 0.3629 
Training 38.10 %,Trainning accuracy = 81.999999%, loss = 0.4710 
Training 38.15 %,Trainning accuracy = 81.999999%, loss = 0.5390 
Training 38.20 %,Trainning accuracy = 86.000001%, loss = 0.3783 
Training 38.25 %,Trainning accuracy = 71.999997%, loss = 0.6006 
Training 38.30 %,Trainning accuracy = 87.999994%, loss = 0.3319 
Training 38.35 %,Trainning accuracy = 81.999993%, loss = 0.3993 
Training 38.40 %,Trainning accuracy = 84.000003%, loss = 0.4117 
Training 38.45 %,Trainning accuracy = 81.999993%, loss = 0.4196 
Training 38.50 %,Trainning accuracy = 88.000000%, loss = 0.4177 
Training 38.55 %,Trainning accuracy = 89.999998%, loss = 0.2735 
Training 38.60 %,Trainning accuracy = 86.000001%, loss = 0.4093 
Training 38.65 %,Trainning accuracy = 79.999995%, loss = 0.4529 
Training 38.70 %,Trainning accuracy = 95.999998%, loss = 0.1684 
Training 38.75 %,Trainning accuracy = 83.999997%, loss = 0.4818 
Training 38.80 %,Trainning accuracy = 81.999999%, loss = 0.6111 
Training 38.85 %,Trainning accuracy = 87.999994%, loss = 0.3657 
Training 38.90 %,Trainning accuracy = 75.999999%, loss = 0.6672 
Training 38.95 %,Trainning accuracy = 92.000002%, loss = 0.2637 
Training 39.00 %,Trainning accuracy = 81.999999%, loss = 0.5268 
Training 39.05 %,Trainning accuracy = 78.000003%, loss = 0.3774 
Training 39.10 %,Trainning accuracy = 88.000000%, loss = 0.4982 
Training 39.15 %,Trainning accuracy = 77.999997%, loss = 0.5451 
Training 39.20 %,Trainning accuracy = 84.000003%, loss = 0.4941 
Training 39.25 %,Trainning accuracy = 81.999999%, loss = 0.5247 
Training 39.30 %,Trainning accuracy = 91.999996%, loss = 0.2683 
Training 39.35 %,Trainning accuracy = 80.000001%, loss = 0.4784 
Training 39.40 %,Trainning accuracy = 88.000000%, loss = 0.4268 
Training 39.45 %,Trainning accuracy = 86.000001%, loss = 0.3106 
Training 39.50 %,Trainning accuracy = 92.000002%, loss = 0.4519 
Training 39.55 %,Trainning accuracy = 77.999997%, loss = 0.6874 
Training 39.60 %,Trainning accuracy = 79.999995%, loss = 0.4949 
Training 39.65 %,Trainning accuracy = 77.999997%, loss = 0.6194 
Training 39.70 %,Trainning accuracy = 77.999997%, loss = 0.5434 
Training 39.75 %,Trainning accuracy = 80.000007%, loss = 0.6557 
Training 39.80 %,Trainning accuracy = 81.999999%, loss = 0.4373 
Training 39.85 %,Trainning accuracy = 88.000000%, loss = 0.2883 
